location,total_sqft,bath,bhk,price,price_per_sqft
Duvall,3160,2.5,3,488000,154.43037974683546
Federal Way,990,1.0,3,210490,212.6161616161616
Bellevue,2290,2.5,4,785000,342.7947598253275
Seattle,1250,1.75,3,450000,360.0
Vashon,2753,2.5,3,1350000,490.37413730475845
Seattle,1190,1.0,3,228000,191.5966386554622
Renton,3150,2.5,5,345000,109.52380952380952
Seattle,1410,1.75,3,600000,425.531914893617
Seattle,1980,1.75,2,585000,295.45454545454544
Seattle,2730,2.25,5,920000,336.996336996337
Seattle,2830,2.5,4,885000,312.7208480565371
Kent,2250,2.5,4,292500,130.0
Kent,2420,2.5,3,301000,124.3801652892562
Bellevue,3250,3.25,5,951000,292.61538461538464
Renton,1850,3.0,4,430000,232.43243243243242
Seattle,2150,2.25,3,650000,302.3255813953488
Seattle,1260,1.75,3,289000,229.36507936507937
Seattle,2519,1.75,3,505000,200.47637951568083
Seattle,1540,1.75,3,549000,356.4935064935065
Seattle,1660,2.25,3,425000,256.0240963855422
Seattle,2770,2.75,3,317625,114.66606498194946
Bellevue,2720,2.5,4,975000,358.45588235294116
Auburn,2240,2.5,4,287000,128.125
Kent,1000,1.0,3,204000,204.0
Bellevue,3200,2.25,5,1330000,415.625
Bellevue,4770,3.25,5,1040000,218.02935010482182
Kirkland,1260,2.0,3,325000,257.93650793650795
Seattle,2750,2.0,4,571000,207.63636363636363
Maple Valley,2380,2.5,4,360000,151.26050420168067
Kent,1790,1.75,3,349000,194.97206703910615
Sammamish,3430,4.0,4,832500,242.71137026239066
Bellevue,1760,1.75,4,380000,215.9090909090909
Seattle,1040,1.0,3,480000,461.53846153846155
Seattle,1410,1.0,3,410000,290.78014184397165
Black Diamond,3450,2.5,4,720000,208.69565217391303
Maple Valley,2350,2.5,3,390000,165.95744680851064
Maple Valley,1900,2.5,4,360000,189.47368421052633
Seattle,2020,1.0,2,355000,175.74257425742573
Renton,1680,1.5,3,356000,211.9047619047619
Seattle,960,1.0,3,315000,328.125
Seattle,2140,1.5,3,940000,439.25233644859816
Auburn,2660,2.25,5,305000,114.66165413533835
Renton,2770,3.25,3,461000,166.4259927797834
Renton,1610,2.25,2,215000,133.54037267080744
Seattle,1030,1.75,2,335000,325.24271844660194
Federal Way,1980,2.5,4,243500,122.97979797979798
Seattle,3520,2.75,5,1100000,312.5
Federal Way,1200,1.0,3,153000,127.5
Seattle,1580,1.5,3,430000,272.1518987341772
Seattle,1580,1.5,3,700000,443.0379746835443
Mercer Island,3300,2.5,4,905000,274.24242424242425
Kent,1960,1.75,3,247500,126.27551020408163
Federal Way,1160,1.5,4,199000,171.55172413793105
Maple Valley,1810,1.75,3,314000,173.48066298342542
North Bend,2320,2.5,3,437500,188.57758620689654
Seattle,2070,2.5,3,850830,411.0289855072464
Seattle,1980,2.0,3,555000,280.3030303030303
Woodinville,2190,2.25,3,699950,319.61187214611874
Bellevue,2920,2.5,3,1090000,373.28767123287673
Renton,1210,1.0,3,290000,239.6694214876033
Renton,2340,2.5,3,375000,160.25641025641025
Seattle,1670,1.0,3,460000,275.4491017964072
Seattle,1240,1.75,2,188500,152.01612903225808
Woodinville,3140,2.5,4,680000,216.56050955414014
Redmond,2030,1.75,5,470000,231.5270935960591
Issaquah,2310,2.5,4,597750,258.76623376623377
Seattle,1260,1.75,3,570000,452.3809523809524
Maple Valley,1540,1.75,3,272500,176.94805194805195
Seattle,2080,1.75,3,329950,158.62980769230768
Auburn,3230,2.5,4,480000,148.60681114551085
Seattle,4380,3.5,3,740500,169.06392694063928
Seattle,1590,3.5,3,518500,326.1006289308176
Seattle,880,1.0,2,205425,233.4375
Seattle,1570,2.0,4,171800,109.4267515923567
Seattle,1610,1.0,4,535000,332.29813664596276
Seattle,2400,2.5,3,660000,275.0
Kirkland,1450,2.0,3,391500,270.0
Seattle,770,1.0,2,395000,512.987012987013
Seattle,2100,1.75,4,445000,211.9047619047619
Redmond,2910,2.25,3,770000,264.6048109965636
Bellevue,2750,2.75,4,1450000,527.2727272727273
Seattle,2100,2.25,3,445000,211.9047619047619
Federal Way,2160,2.25,4,260000,120.37037037037037
Seattle,2320,3.5,5,822500,354.5258620689655
Snoqualmie,2070,2.5,4,430000,207.72946859903382
Auburn,1060,1.75,3,212000,200.0
Issaquah,2010,2.25,4,660500,328.60696517412936
Redmond,3950,3.5,3,784000,198.48101265822785
Issaquah,2010,2.5,3,453246,225.4955223880597
Seattle,2140,3.5,4,675000,315.42056074766356
Federal Way,1320,1.75,3,199000,150.75757575757575
Federal Way,2020,1.75,4,220000,108.91089108910892
Kenmore,2590,2.25,4,452000,174.51737451737452
Seattle,1190,1.0,2,382500,321.42857142857144
Seattle,1170,2.25,3,519950,444.4017094017094
Seattle,1110,1.0,2,665000,599.0990990990991
Bellevue,2820,2.5,5,527700,187.12765957446808
Renton,1610,1.0,3,205000,127.32919254658385
Seattle,1060,1.0,3,420000,396.22641509433964
Bellevue,2030,2.25,4,500000,246.30541871921181
Woodinville,3670,2.5,4,921500,251.0899182561308
Seattle,2550,1.0,4,890000,349.01960784313724
Issaquah,2420,2.5,2,430000,177.68595041322314
Kent,2260,2.0,5,258000,114.15929203539822
Seattle,1430,1.0,3,511000,357.34265734265733
Seattle,1360,2.0,3,532170,391.3014705882353
Seattle,1110,1.0,3,560000,504.5045045045045
Federal Way,1250,1.0,3,282950,226.36
Bellevue,5180,3.25,4,2250000,434.36293436293437
Seattle,700,1.0,1,350000,500.0
Renton,1180,1.0,3,215000,182.20338983050848
Renton,3960,3.5,5,650000,164.14141414141415
Federal Way,2640,2.75,4,320000,121.21212121212122
Enumclaw,1270,2.0,3,247000,194.48818897637796
Renton,1760,1.75,4,320000,181.8181818181818
Seattle,2060,2.25,5,255000,123.7864077669903
Kirkland,1780,1.75,3,438000,246.06741573033707
Sammamish,3400,2.5,3,900000,264.70588235294116
Kirkland,1910,2.75,3,441000,230.89005235602093
Issaquah,2020,2.0,3,420000,207.92079207920793
Kirkland,1580,1.75,3,370000,234.1772151898734
Seattle,1340,1.75,2,269950,201.455223880597
Bellevue,2680,2.5,4,807100,301.15671641791045
Kirkland,2680,2.5,3,653000,243.65671641791045
Seattle,1370,2.0,3,371500,271.1678832116788
Seattle,1560,1.75,3,284000,182.05128205128204
Federal Way,2160,1.75,3,272000,125.92592592592592
Seattle,1340,1.5,3,313000,233.5820895522388
Kirkland,3880,2.5,4,917500,236.46907216494844
Bellevue,2590,2.25,4,673000,259.8455598455598
Seattle,1120,2.5,3,425000,379.4642857142857
Seattle,1970,2.75,5,399950,203.0203045685279
Seattle,1220,1.0,3,385000,315.57377049180326
Enumclaw,1950,1.5,3,269950,138.43589743589743
Seattle,1350,1.0,2,330000,244.44444444444446
Kent,1670,2.5,3,260000,155.688622754491
Seattle,2380,3.0,4,470000,197.47899159663865
Kirkland,2440,3.0,4,589000,241.39344262295083
Maple Valley,1050,1.5,2,163500,155.71428571428572
Redmond,3130,2.75,4,835000,266.77316293929715
Kirkland,4090,3.0,5,1100000,268.9486552567237
Federal Way,1490,1.75,4,269000,180.53691275167785
Sammamish,1900,2.5,3,560000,294.7368421052632
Seattle,1330,1.0,4,615000,462.406015037594
Redmond,2230,2.25,3,585188,262.41614349775784
Kirkland,1650,1.75,3,305000,184.84848484848484
Renton,1190,1.0,3,166950,140.2941176470588
Mercer Island,2140,2.5,3,799000,373.3644859813084
Seattle,2180,2.5,3,400000,183.4862385321101
Seattle,1060,1.0,3,230000,216.9811320754717
Federal Way,1690,2.5,3,256883,152.00177514792898
Seattle,1970,2.0,4,423000,214.72081218274113
Seattle,2150,2.5,3,465000,216.27906976744185
Fall City,1910,2.5,3,440000,230.36649214659687
Maple Valley,1350,1.75,3,385000,285.18518518518516
Renton,860,1.0,3,210000,244.1860465116279
Kent,1940,2.5,3,297000,153.09278350515464
Seattle,1010,1.0,3,470000,465.34653465346537
Federal Way,1300,1.5,3,226500,174.23076923076923
Renton,910,1.0,3,274250,301.3736263736264
Mercer Island,2480,1.75,4,840000,338.7096774193548
Redmond,2440,2.5,3,677900,277.827868852459
Seattle,1010,1.0,3,425000,420.7920792079208
Seattle,900,0.75,2,180250,200.27777777777777
Seattle,2300,3.0,6,464000,201.7391304347826
Maple Valley,1550,2.25,4,320000,206.4516129032258
Seattle,1270,2.25,3,625504,492.52283464566926
Sammamish,2240,2.5,4,592500,264.50892857142856
Auburn,2714,2.5,3,465000,171.33382461311717
Seattle,1720,2.75,4,477000,277.3255813953488
Seattle,850,1.0,2,280000,329.4117647058824
Mercer Island,3300,3.0,5,1510000,457.57575757575756
Seattle,2250,2.5,3,445838,198.15022222222223
Seattle,3900,2.25,2,1070000,274.35897435897436
Seattle,1320,1.5,2,467000,353.7878787878788
Sammamish,2760,2.5,4,686000,248.55072463768116
Seattle,1750,2.0,3,279950,159.97142857142856
Bothell,2330,2.25,4,527000,226.1802575107296
Kent,2220,2.25,3,325000,146.3963963963964
Maple Valley,2020,2.25,3,328000,162.37623762376236
Seattle,1250,2.25,3,390000,312.0
Redmond,1510,2.0,2,479950,317.8476821192053
Federal Way,1720,2.25,4,264950,154.0406976744186
Kent,1430,1.0,3,235000,164.33566433566435
Redmond,1480,2.5,3,516500,348.9864864864865
Seattle,1450,1.75,2,655000,451.7241379310345
Renton,2280,2.75,4,500000,219.2982456140351
Federal Way,2940,2.75,6,315000,107.14285714285714
Fall City,1000,1.0,2,213000,213.0
Seattle,2480,1.5,3,475000,191.53225806451613
Kirkland,3760,4.0,5,1030000,273.93617021276594
Black Diamond,2220,2.0,3,416000,187.38738738738738
Seattle,1970,1.0,4,410000,208.12182741116752
Woodinville,3830,3.5,3,800000,208.87728459530027
Federal Way,4410,2.5,6,472000,107.02947845804988
Federal Way,1430,1.75,3,225000,157.34265734265733
Seattle,830,1.0,2,210000,253.0120481927711
Seattle,1430,1.0,2,455000,318.1818181818182
Auburn,1300,1.0,3,225000,173.07692307692307
Seattle,1030,1.0,2,480000,466.0194174757282
Federal Way,2740,2.5,3,363000,132.4817518248175
Sammamish,3650,2.5,4,2400000,657.5342465753424
Seattle,720,1.5,2,181000,251.38888888888889
Auburn,2010,2.0,4,250000,124.37810945273633
Seattle,1560,1.75,3,481000,308.3333333333333
Kent,1810,2.0,3,260000,143.646408839779
Renton,3360,2.5,4,455000,135.41666666666666
North Bend,1510,2.25,3,415000,274.8344370860927
Seattle,1400,1.0,3,349500,249.64285714285714
Kent,1730,2.5,3,245000,141.6184971098266
Seattle,1420,2.0,2,592500,417.2535211267606
Seattle,2360,1.75,4,385000,163.135593220339
Renton,1580,1.75,3,315000,199.36708860759492
North Bend,1230,1.0,3,255000,207.3170731707317
Redmond,2460,2.5,4,693000,281.7073170731707
Seattle,1660,1.0,3,780000,469.87951807228916
Seattle,1270,1.75,3,237000,186.61417322834646
Sammamish,2100,2.25,3,525000,250.0
Seattle,770,1.0,2,425000,551.9480519480519
Vashon,760,0.75,1,369900,486.7105263157895
Kent,1700,2.5,4,290000,170.58823529411765
Seattle,1120,1.0,3,285000,254.46428571428572
Seattle,1070,1.0,2,415000,387.85046728971963
Federal Way,2070,2.5,3,272500,131.6425120772947
Bellevue,5050,3.25,4,2900000,574.2574257425742
Woodinville,5310,4.75,4,1370000,258.00376647834275
Seattle,1040,1.0,2,436000,419.2307692307692
Federal Way,1700,1.0,3,210000,123.52941176470588
Seattle,1300,1.0,3,236000,181.53846153846155
Seattle,1080,1.75,3,331000,306.48148148148147
Kent,2653,2.5,3,365000,137.5800980022616
Renton,2290,2.0,3,450000,196.5065502183406
Kenmore,3820,2.75,4,770000,201.57068062827224
Maple Valley,2210,2.5,4,455000,205.88235294117646
Seattle,2390,1.75,3,405000,169.4560669456067
Kent,2600,1.75,4,304900,117.26923076923077
Seattle,860,1.0,2,170000,197.67441860465115
Seattle,3830,3.0,5,2050000,535.248041775457
Redmond,3500,2.5,4,780000,222.85714285714286
Kenmore,2420,3.0,3,330000,136.36363636363637
Kent,2720,2.5,4,370000,136.02941176470588
Woodinville,2500,2.25,5,467000,186.8
Kirkland,1670,1.75,3,405000,242.51497005988023
Bellevue,2900,2.25,5,675000,232.75862068965517
Bellevue,1640,1.0,2,500000,304.8780487804878
Seattle,1890,2.5,4,389999,206.34867724867726
Kirkland,2950,1.75,4,630000,213.5593220338983
Auburn,2160,2.5,4,360000,166.66666666666666
Renton,3280,3.0,4,580000,176.82926829268294
Seattle,1970,2.0,3,550000,279.18781725888323
Sammamish,3360,2.5,4,879000,261.60714285714283
Kent,1320,2.0,3,265000,200.75757575757575
Renton,2650,2.5,3,446500,168.49056603773585
Seattle,2030,1.5,3,404000,199.01477832512316
Seattle,1590,1.75,3,267500,168.23899371069183
Sammamish,4550,5.0,4,3080000,676.9230769230769
Federal Way,2440,2.5,3,335000,137.29508196721312
Seattle,1940,2.5,3,576000,296.9072164948454
Maple Valley,2040,2.5,3,208633,102.27107843137254
Seattle,2200,2.25,3,315000,143.1818181818182
Seattle,1920,1.75,3,725000,377.6041666666667
Seattle,1800,2.75,4,550000,305.55555555555554
Sammamish,2180,2.25,4,610750,280.1605504587156
Seattle,1010,1.0,2,550700,545.2475247524752
Renton,3320,2.75,4,665000,200.3012048192771
Seattle,2370,2.5,4,834000,351.8987341772152
Snoqualmie,1660,1.75,5,201000,121.08433734939759
Seattle,3650,2.5,5,2380000,652.054794520548
Bellevue,4290,3.25,4,1380000,321.67832167832165
Bellevue,4290,3.25,4,1400000,326.3403263403263
Renton,1950,2.25,4,305000,156.4102564102564
Seattle,2590,2.0,3,487000,188.03088803088804
Kent,1930,2.5,3,390000,202.07253886010363
Seattle,1470,1.0,2,548000,372.7891156462585
Seattle,800,1.0,4,268750,335.9375
Redmond,3150,2.75,5,819900,260.2857142857143
Issaquah,2030,2.25,3,520000,256.1576354679803
Auburn,1450,2.0,3,230000,158.6206896551724
Federal Way,1510,1.75,3,240000,158.94039735099338
Seattle,1240,1.0,2,232000,187.09677419354838
Seattle,1240,1.0,2,240500,193.9516129032258
Woodinville,3030,2.5,3,274975,90.75082508250826
Seattle,2050,2.0,4,740000,360.9756097560976
Seattle,1000,1.0,3,186375,186.375
Bellevue,2370,2.25,3,790000,333.3333333333333
Seattle,2800,3.5,4,880000,314.2857142857143
Seattle,2240,1.75,6,279000,124.55357142857143
Enumclaw,1810,2.0,3,295000,162.98342541436463
Seattle,1070,1.0,2,640000,598.1308411214953
Mercer Island,2490,2.0,4,940000,377.5100401606426
Maple Valley,1960,2.5,4,260000,132.6530612244898
Woodinville,2930,2.75,3,559900,191.09215017064847
Seattle,1510,2.0,4,791500,524.1721854304636
Seattle,1420,1.75,3,265000,186.61971830985917
Seattle,1740,1.75,3,245000,140.80459770114942
Redmond,2560,1.75,4,485000,189.453125
Renton,3040,3.5,4,684000,225.0
Seattle,2500,1.75,3,425000,170.0
Vashon,1275,1.75,4,309600,242.8235294117647
Snoqualmie,2580,2.5,4,552250,214.0503875968992
Seattle,1000,1.0,4,165000,165.0
Seattle,1000,1.0,4,239900,239.9
Renton,1070,1.0,2,320000,299.06542056074767
Kent,1390,2.0,3,206600,148.63309352517985
Seattle,2500,1.75,4,387000,154.8
Carnation,560,0.75,1,299000,533.9285714285714
Mercer Island,2270,2.75,4,855000,376.6519823788546
Seattle,1900,1.0,3,315000,165.78947368421052
Seattle,990,1.0,2,437500,441.9191919191919
Auburn,1550,1.5,4,252000,162.58064516129033
Seattle,2200,1.75,4,375000,170.45454545454547
Maple Valley,1910,2.5,4,300000,157.06806282722513
Bellevue,1750,1.0,4,420000,240.0
Kirkland,1330,1.0,3,900000,676.6917293233083
Seattle,2440,2.5,3,679900,278.6475409836066
Redmond,1640,2.5,3,463000,282.3170731707317
Renton,2760,2.5,5,380000,137.68115942028984
Maple Valley,1820,2.5,4,329500,181.04395604395606
Kirkland,2110,2.5,3,604950,286.70616113744074
Bellevue,3040,2.5,5,795000,261.5131578947368
North Bend,1840,2.0,3,465000,252.7173913043478
Seattle,2990,2.5,4,673000,225.08361204013377
Sammamish,3520,2.5,4,810000,230.11363636363637
Sammamish,2440,2.75,4,785000,321.72131147540983
Renton,2090,3.0,4,338000,161.7224880382775
Renton,1430,2.25,3,280000,195.8041958041958
Seattle,2180,2.25,4,315000,144.4954128440367
Seattle,2180,2.25,4,530000,243.11926605504587
Federal Way,3450,3.0,5,380000,110.14492753623189
Renton,1450,2.25,3,297000,204.82758620689654
Sammamish,3230,2.5,4,730000,226.0061919504644
Seattle,1640,1.75,3,450000,274.390243902439
Maple Valley,1590,3.0,3,275000,172.9559748427673
Seattle,2020,2.0,4,595000,294.55445544554453
Seattle,1300,1.5,3,435000,334.61538461538464
Bothell,1380,1.5,2,270000,195.65217391304347
Woodinville,4040,3.0,3,950000,235.14851485148515
Duvall,2130,2.25,4,389000,182.62910798122067
Redmond,2550,2.25,4,560000,219.6078431372549
Bellevue,4800,3.5,5,1350000,281.25
Mercer Island,2510,2.25,4,799000,318.32669322709165
Woodinville,1410,2.0,3,365500,259.21985815602835
Renton,1650,2.0,3,252350,152.93939393939394
Seattle,2120,2.5,4,403950,190.54245283018867
Seattle,2040,1.5,4,385000,188.72549019607843
Seattle,1550,1.0,4,345000,222.58064516129033
Bellevue,1980,2.75,3,490000,247.4747474747475
Duvall,1600,2.5,3,330000,206.25
Bellevue,3300,2.75,4,927000,280.90909090909093
Mercer Island,3840,2.5,4,1120000,291.6666666666667
Kenmore,1220,1.0,2,330000,270.4918032786885
Bellevue,2720,2.25,5,530000,194.85294117647058
Bellevue,1940,2.0,4,365000,188.1443298969072
Seattle,2160,2.5,3,378750,175.34722222222223
Renton,1530,1.75,4,269900,176.40522875816993
Seattle,1710,3.5,3,557000,325.7309941520468
Enumclaw,3730,1.75,4,360000,96.51474530831099
Seattle,940,1.0,2,352000,374.468085106383
North Bend,1750,2.5,3,437000,249.71428571428572
Maple Valley,1820,2.5,4,322500,177.1978021978022
Seattle,1510,3.25,3,650000,430.4635761589404
Seattle,1290,2.0,3,450000,348.83720930232556
Auburn,1570,2.0,3,278500,177.38853503184714
Renton,1930,2.5,4,364950,189.09326424870466
Maple Valley,2840,3.5,4,840000,295.77464788732397
Kent,1550,2.5,3,268000,172.90322580645162
Vashon,833,1.0,2,517534,621.2893157262905
Woodinville,2990,2.5,3,632925,211.68060200668896
Kirkland,2000,2.5,3,577500,288.75
Seattle,2390,1.5,4,339000,141.84100418410043
Redmond,2910,1.75,3,570000,195.8762886597938
Fall City,2085,1.75,4,563500,270.26378896882494
Seattle,2200,2.25,4,423000,192.27272727272728
Duvall,1860,2.25,3,355000,190.86021505376345
Fall City,6070,4.25,5,1550000,255.35420098846788
Seattle,950,1.0,2,482000,507.36842105263156
Bellevue,1600,1.75,3,625000,390.625
Renton,2250,2.5,3,538000,239.11111111111111
Renton,2280,2.5,3,380000,166.66666666666666
Seattle,940,1.0,2,375000,398.93617021276594
Maple Valley,1530,2.5,3,245000,160.13071895424838
Seattle,2190,1.75,5,310000,141.55251141552512
Bellevue,2350,2.0,3,1300000,553.1914893617021
Kirkland,1440,2.0,4,397000,275.69444444444446
Renton,2200,2.5,3,365000,165.9090909090909
Kent,2290,3.0,4,328500,143.44978165938863
Redmond,4040,3.0,4,988000,244.55445544554456
Seattle,2610,2.5,4,1000000,383.1417624521073
Renton,1490,2.5,3,237000,159.06040268456377
Bothell,2450,2.5,4,525000,214.28571428571428
Bellevue,1710,2.5,4,749000,438.01169590643275
Sammamish,4870,2.5,5,722500,148.35728952772075
Redmond,3130,2.5,3,843000,269.3290734824281
Seattle,1270,2.0,2,438000,344.88188976377955
Seattle,2120,1.75,3,578000,272.64150943396226
Auburn,1670,1.5,3,227950,136.49700598802394
Auburn,2070,2.25,3,196000,94.68599033816425
Seattle,1420,1.0,2,641000,451.40845070422534
Maple Valley,1250,1.5,3,350000,280.0
Kent,940,1.0,3,205000,218.08510638297872
Woodinville,1920,1.75,3,400000,208.33333333333334
Issaquah,3545,2.5,3,1030000,290.55007052186176
Kirkland,1260,2.0,3,505000,400.7936507936508
Kirkland,2340,2.5,5,475000,202.991452991453
Kenmore,2590,2.25,3,520000,200.77220077220076
Kirkland,3970,4.5,3,1450000,365.23929471032744
Bothell,1220,1.75,3,333500,273.3606557377049
Maple Valley,1400,1.0,3,232000,165.71428571428572
Bellevue,2360,2.75,3,691100,292.83898305084745
Mercer Island,1870,1.75,3,811000,433.6898395721925
Kenmore,2830,2.5,3,551000,194.69964664310953
Woodinville,2260,2.5,3,496500,219.69026548672565
Vashon,1970,3.0,3,705000,357.8680203045685
Renton,3140,2.5,4,578000,184.0764331210191
Kent,1240,1.75,3,255000,205.6451612903226
Bellevue,3450,3.5,4,1050000,304.3478260869565
Kent,2570,2.25,3,348000,135.40856031128405
Kent,1510,2.0,3,230000,152.31788079470198
Federal Way,2390,2.25,4,359500,150.418410041841
Seattle,980,1.0,3,330000,336.734693877551
Carnation,430,0.75,1,80000,186.04651162790697
Seattle,1480,1.75,3,465000,314.18918918918916
Kent,1850,2.5,4,325000,175.67567567567568
Seattle,2270,2.0,3,340500,150.0
Maple Valley,1810,2.5,3,342500,189.22651933701658
Seattle,1610,2.0,2,290900,180.6832298136646
Sammamish,3840,4.25,3,868700,226.22395833333334
Seattle,4110,2.75,4,1200000,291.97080291970804
Sammamish,4190,3.25,4,1150000,274.4630071599045
Sammamish,3390,2.75,4,859900,253.65781710914453
Issaquah,1890,2.25,4,520000,275.13227513227514
Seattle,1610,2.5,3,460000,285.7142857142857
Seattle,1050,1.5,3,438924,418.02285714285716
Seattle,630,1.0,2,315000,500.0
Kirkland,2910,2.75,4,590000,202.74914089347078
Bellevue,1700,1.75,4,378500,222.64705882352942
Kent,1950,2.5,3,328500,168.46153846153845
Bellevue,2990,3.0,3,849950,284.26421404682276
Seattle,1350,1.5,3,525000,388.8888888888889
Sammamish,4860,3.25,4,1390000,286.0082304526749
Federal Way,2160,2.5,4,295000,136.57407407407408
Bellevue,4860,3.5,6,1070000,220.16460905349794
Seattle,890,2.0,2,207950,233.65168539325842
Sammamish,2810,2.75,4,699900,249.0747330960854
Issaquah,3400,2.5,5,1280000,376.47058823529414
Redmond,1580,1.5,4,452000,286.0759493670886
Renton,1680,2.0,3,370000,220.23809523809524
Kent,1300,1.75,3,232000,178.46153846153845
Kirkland,2820,2.5,5,669950,237.5709219858156
Kirkland,1510,2.0,3,397500,263.2450331125828
Seattle,1230,2.5,2,490000,398.3739837398374
Seattle,2110,2.0,4,725000,343.6018957345972
Kent,3080,2.75,3,299000,97.07792207792208
Seattle,1490,1.5,2,625000,419.46308724832215
Snoqualmie,2120,2.5,3,437500,206.3679245283019
Snoqualmie,3180,2.5,4,650000,204.40251572327045
Seattle,1490,1.0,2,475000,318.79194630872485
Kent,1930,2.0,3,342000,177.2020725388601
Kirkland,2770,2.5,4,1200000,433.2129963898917
Renton,1670,1.5,3,280000,167.66467065868264
Seattle,1330,1.75,2,240000,180.45112781954887
Seattle,1210,1.0,3,529000,437.1900826446281
Seattle,1190,1.0,3,442000,371.42857142857144
Seattle,1540,1.0,2,615000,399.35064935064935
Kirkland,4030,3.75,4,1490000,369.72704714640196
Redmond,2430,1.75,4,585000,240.74074074074073
Renton,2600,2.5,4,480000,184.6153846153846
Redmond,4410,3.5,5,1100000,249.4331065759637
Seattle,1330,1.0,4,290000,218.04511278195488
Seattle,1900,1.75,3,615000,323.6842105263158
Seattle,1100,1.0,2,300000,272.72727272727275
Kent,1980,1.0,3,308000,155.55555555555554
Kirkland,2400,2.5,3,750000,312.5
Seattle,4760,2.25,4,2250000,472.6890756302521
Renton,3180,3.25,4,890000,279.87421383647796
Renton,1190,1.0,3,288000,242.01680672268907
Seattle,630,1.0,2,190000,301.58730158730157
Seattle,2530,3.0,5,515000,203.55731225296444
Renton,1690,1.5,4,235000,139.0532544378698
Seattle,940,1.0,2,275000,292.5531914893617
Bellevue,1240,2.0,2,727500,586.6935483870968
Redmond,3040,2.5,4,650000,213.81578947368422
Fall City,6050,5.0,6,1600000,264.46280991735534
Seattle,1590,1.0,4,365000,229.55974842767296
Redmond,2500,1.75,3,662000,264.8
Maple Valley,1780,2.5,3,270500,151.96629213483146
Auburn,1360,1.5,2,200000,147.05882352941177
Sammamish,4740,3.25,4,970000,204.64135021097047
Seattle,1010,1.5,3,160000,158.41584158415841
Black Diamond,1040,1.0,3,204000,196.15384615384616
Renton,1610,2.25,3,358000,222.36024844720498
Bothell,1570,1.75,4,452000,287.8980891719745
Seattle,1510,2.0,2,595000,394.03973509933775
Kent,1360,2.0,3,249000,183.08823529411765
Renton,1970,2.5,4,346900,176.09137055837564
Seattle,5403,2.5,3,2130000,394.2254303164908
Renton,1560,2.5,4,280000,179.48717948717947
Kent,2320,1.75,4,318888,137.45172413793102
Sammamish,2120,2.25,3,530000,250.0
Kent,2120,2.25,3,375000,176.88679245283018
Redmond,3350,2.5,4,910000,271.64179104477614
Bellevue,2380,2.5,4,782000,328.57142857142856
Seattle,1070,2.0,2,259950,242.94392523364485
Renton,2300,2.75,4,315000,136.95652173913044
Seattle,1320,1.0,2,215000,162.87878787878788
Mercer Island,2180,1.75,3,705000,323.39449541284404
Seattle,4380,3.0,3,1450000,331.0502283105023
Seattle,1790,1.75,3,451000,251.95530726256985
Renton,750,1.0,2,261000,348.0
Kenmore,1300,1.5,3,396000,304.61538461538464
Renton,2990,2.5,4,725000,242.47491638795987
Mercer Island,4640,3.5,7,1950000,420.2586206896552
Seattle,1400,1.0,4,238000,170.0
