location,total_sqft,bath,bhk,floors,zipcode,price
Maple Valley,2040,2.5,3,2,98038,208633
Seattle,2200,2.25,3,1,98166,315000
Seattle,1920,1.75,3,1,98112,725000
Seattle,1800,2.75,4,1,98177,550000
Sammamish,2180,2.25,4,2,98074,610750
Seattle,1010,1,2,1.5,98105,550700
Renton,3320,2.75,4,2,98056,665000
Seattle,2370,2.5,4,1.5,98144,834000
Snoqualmie,1660,1.75,5,1.5,98065,201000
Seattle,3650,2.5,5,2,98119,2380000
Bellevue,4290,3.25,4,1,98006,1380000
Bellevue,4290,3.25,4,1,98006,1400000
Renton,1950,2.25,4,1,98058,305000
Seattle,2590,2,3,1,98133,487000
Kent,1930,2.5,3,1,98042,390000
Seattle,1470,1,2,1,98103,548000
Seattle,800,1,4,1,98166,268750
Redmond,3150,2.75,5,2,98052,819900
Issaquah,2030,2.25,3,2,98027,520000
Auburn,1450,2,3,1,98001,230000
Federal Way,1510,1.75,3,1,98023,240000
Seattle,1240,1,2,1,98146,232000
Seattle,1240,1,2,1,98146,240500
Woodinville,3030,2.5,3,2,98077,274975
Seattle,2050,2,4,1.5,98102,740000
Seattle,1000,1,3,1,98166,186375
Bellevue,2370,2.25,3,1,98005,790000
Seattle,2800,3.5,4,2,98105,880000
Seattle,2240,1.75,6,2,98198,279000
Enumclaw,1810,2,3,1,98022,295000
Seattle,1070,1,2,1,98103,640000
Mercer Island,2490,2,4,2,98040,940000
Maple Valley,1960,2.5,4,2,98038,260000
Woodinville,2930,2.75,3,1,98072,559900
Seattle,1510,2,4,1.5,98103,791500
Seattle,1420,1.75,3,1,98133,265000
Seattle,1740,1.75,3,1,98178,245000
Redmond,2560,1.75,4,2,98052,485000
Renton,3040,3.5,4,2,98059,684000
Seattle,2500,1.75,3,1,98125,425000
Vashon,1275,1.75,4,1,98070,309600
Snoqualmie,2580,2.5,4,2,98065,552250
Seattle,1000,1,4,1,98178,165000
Seattle,1000,1,4,1,98178,239900
Renton,1070,1,2,1,98059,320000
Kent,1390,2,3,1,98030,206600
Seattle,2500,1.75,4,1,98155,387000
Carnation,560,0.75,1,1,98014,299000
Mercer Island,2270,2.75,4,2,98040,855000
Seattle,1900,1,3,1,98166,315000
Seattle,990,1,2,1,98103,437500
Auburn,1550,1.5,4,1,98001,252000
Seattle,2200,1.75,4,1,98118,375000
Maple Valley,1910,2.5,4,2,98038,300000
Bellevue,1750,1,4,1.5,98006,420000
Kirkland,1330,1,3,1,98033,900000
Seattle,2440,2.5,3,2,98116,679900
Redmond,1640,2.5,3,2,98053,463000
Renton,2760,2.5,5,2,98059,380000
Maple Valley,1820,2.5,4,2,98038,329500
Kirkland,2110,2.5,3,1,98033,604950
Bellevue,3040,2.5,5,1,98006,795000
North Bend,1840,2,3,2,98045,465000
Seattle,2990,2.5,4,2,98166,673000
Sammamish,3520,2.5,4,2,98074,810000
Sammamish,2440,2.75,4,1,98075,785000
Renton,2090,3,4,1,98056,338000
Renton,1430,2.25,3,2,98056,280000
Seattle,2180,2.25,4,1,98133,315000
Seattle,2180,2.25,4,1,98133,530000
Federal Way,3450,3,5,2,98023,380000
Renton,1450,2.25,3,2,98056,297000
Sammamish,3230,2.5,4,2,98075,730000
Seattle,1640,1.75,3,1,98125,450000
Maple Valley,1590,3,3,1,98038,275000
Seattle,2020,2,4,2,98115,595000
Seattle,1300,1.5,3,1.5,98144,435000
Bothell,1380,1.5,2,1,98011,270000
Woodinville,4040,3,3,2,98077,950000
Duvall,2130,2.25,4,2,98019,389000
Redmond,2550,2.25,4,1,98052,560000
Bellevue,4800,3.5,5,2,98006,1350000
Mercer Island,2510,2.25,4,2,98040,799000
Woodinville,1410,2,3,1,98072,365500
Renton,1650,2,3,1,98058,252350
Seattle,2120,2.5,4,2,98146,403950
Seattle,2040,1.5,4,1,98177,385000
Seattle,1550,1,4,1.5,98106,345000
Bellevue,1980,2.75,3,2,98008,490000
Duvall,1600,2.5,3,2,98019,330000
Bellevue,3300,2.75,4,2,98004,927000
Mercer Island,3840,2.5,4,2,98040,1120000
Kenmore,1220,1,2,1,98028,330000
Bellevue,2720,2.25,5,1,98008,530000
Bellevue,1940,2,4,1,98006,365000
Seattle,2160,2.5,3,1.5,98118,378750
Renton,1530,1.75,4,1.5,98058,269900
Seattle,1710,3.5,3,2,98122,557000
Enumclaw,3730,1.75,4,1,98022,360000
Seattle,940,1,2,1,98117,352000
North Bend,1750,2.5,3,2,98045,437000
Maple Valley,1820,2.5,4,2,98038,322500
Seattle,1510,3.25,3,2,98116,650000
Seattle,1290,2,3,3,98103,450000
Auburn,1570,2,3,1,98092,278500
Renton,1930,2.5,4,2,98055,364950
Maple Valley,2840,3.5,4,1,98038,840000
Kent,1550,2.5,3,2,98031,268000
Vashon,833,1,2,1,98070,517534
Woodinville,2990,2.5,3,2,98077,632925
Kirkland,2000,2.5,3,2,98034,577500
Seattle,2390,1.5,4,1.5,98178,339000
Redmond,2910,1.75,3,1,98052,570000
Fall City,2085,1.75,4,1,98024,563500
Seattle,2200,2.25,4,1,98133,423000
Duvall,1860,2.25,3,2,98019,355000
Fall City,6070,4.25,5,2,98024,1550000
Seattle,950,1,2,1,98103,482000
Bellevue,1600,1.75,3,1,98006,625000
Renton,2250,2.5,3,2,98056,538000
Renton,2280,2.5,3,2,98058,380000
Seattle,940,1,2,1,98122,375000
Maple Valley,1530,2.5,3,1,98038,245000
Seattle,2190,1.75,5,1,98166,310000
Bellevue,2350,2,3,1,98004,1300000
Kirkland,1440,2,4,1,98034,397000
Renton,2200,2.5,3,2,98058,365000
Kent,2290,3,4,2,98042,328500
Redmond,4040,3,4,2,98052,988000
Seattle,2610,2.5,4,1.5,98103,1000000
Renton,1490,2.5,3,2,98055,237000
Bothell,2450,2.5,4,2,98011,525000
Bellevue,1710,2.5,4,1,98006,749000
Sammamish,4870,2.5,5,2,98074,722500
Redmond,3130,2.5,3,2,98052,843000
Seattle,1270,2,2,3,98115,438000
Seattle,2120,1.75,3,1,98146,578000
Auburn,1670,1.5,3,1,98001,227950
Auburn,2070,2.25,3,2,98001,196000
Seattle,1420,1,2,1,98105,641000
Maple Valley,1250,1.5,3,1,98038,350000
Kent,940,1,3,1,98032,205000
Woodinville,1920,1.75,3,1,98072,400000
Issaquah,3545,2.5,3,1,98027,1030000
Kirkland,1260,2,3,1,98034,505000
Kirkland,2340,2.5,5,1,98034,475000
Kenmore,2590,2.25,3,1,98028,520000
Kirkland,3970,4.5,3,2,98034,1450000
Bothell,1220,1.75,3,1,98011,333500
Maple Valley,1400,1,3,1,98038,232000
Bellevue,2360,2.75,3,1,98006,691100
Mercer Island,1870,1.75,3,1,98040,811000
Kenmore,2830,2.5,3,2,98028,551000
Woodinville,2260,2.5,3,2,98072,496500
Vashon,1970,3,3,2,98070,705000
Renton,3140,2.5,4,1,98055,578000
Kent,1240,1.75,3,1,98042,255000
Bellevue,3450,3.5,4,2,98006,1050000
Kent,2570,2.25,3,2,98042,348000
Kent,1510,2,3,2,98031,230000
Federal Way,2390,2.25,4,2,98023,359500
Seattle,980,1,3,1,98133,330000
Carnation,430,0.75,1,1,98014,80000
Seattle,1480,1.75,3,1,98133,465000
Kent,1850,2.5,4,2,98042,325000
Seattle,2270,2,3,1,98168,340500
Maple Valley,1810,2.5,3,2,98038,342500
Seattle,1610,2,2,2,98178,290900
Sammamish,3840,4.25,3,2,98074,868700
Seattle,4110,2.75,4,2,98125,1200000
Sammamish,4190,3.25,4,2,98074,1150000
Sammamish,3390,2.75,4,2,98074,859900
Issaquah,1890,2.25,4,2,98029,520000
Seattle,1610,2.5,3,2,98118,460000
Seattle,1050,1.5,3,1,98115,438924
Seattle,630,1,2,1,98126,315000
Kirkland,2910,2.75,4,1,98033,590000
Bellevue,1700,1.75,4,1,98006,378500
Kent,1950,2.5,3,2,98042,328500
Bellevue,2990,3,3,2,98005,849950
Seattle,1350,1.5,3,1,98136,525000
Sammamish,4860,3.25,4,2.5,98074,1390000
Federal Way,2160,2.5,4,1,98023,295000
Bellevue,4860,3.5,6,2,98006,1070000
Seattle,890,2,2,1,98118,207950
Sammamish,2810,2.75,4,2,98075,699900
Issaquah,3400,2.5,5,2,98027,1280000
Redmond,1580,1.5,4,1,98052,452000
Renton,1680,2,3,1,98055,370000
Kent,1300,1.75,3,1,98042,232000
Kirkland,2820,2.5,5,2,98034,669950
Kirkland,1510,2,3,1,98034,397500
Seattle,1230,2.5,2,2,98112,490000
Seattle,2110,2,4,2,98116,725000
Kent,3080,2.75,3,1,98032,299000
Seattle,1490,1.5,2,1.5,98116,625000
Snoqualmie,2120,2.5,3,2,98065,437500
Snoqualmie,3180,2.5,4,2,98065,650000
Seattle,1490,1,2,1,98117,475000
Kent,1930,2,3,1,98042,342000
Kirkland,2770,2.5,4,2,98033,1200000
Renton,1670,1.5,3,1,98055,280000
Seattle,1330,1.75,2,1,98188,240000
Seattle,1210,1,3,1.5,98107,529000
Seattle,1190,1,3,1,98136,442000
Seattle,1540,1,2,1,98119,615000
Kirkland,4030,3.75,4,2,98033,1490000
Redmond,2430,1.75,4,1,98052,585000
Renton,2600,2.5,4,2,98059,480000
Redmond,4410,3.5,5,2,98053,1100000
Seattle,1330,1,4,1.5,98133,290000
Seattle,1900,1.75,3,1,98116,615000
Seattle,1100,1,2,1,98133,300000
Kent,1980,1,3,1.5,98030,308000
Kirkland,2400,2.5,3,2,98033,750000
Seattle,4760,2.25,4,2.5,98112,2250000
Renton,3180,3.25,4,2,98059,890000
Renton,1190,1,3,1,98058,288000
Seattle,630,1,2,1,98178,190000
Seattle,2530,3,5,1,98133,515000
Renton,1690,1.5,4,1,98055,235000
Seattle,940,1,2,1,98126,275000
Bellevue,1240,2,2,1,98004,727500
Redmond,3040,2.5,4,2,98053,650000
Fall City,6050,5,6,2,98024,1600000
Seattle,1590,1,4,1.5,98125,365000
Redmond,2500,1.75,3,1,98052,662000
Maple Valley,1780,2.5,3,1,98038,270500
Auburn,1360,1.5,2,2,98092,200000
Sammamish,4740,3.25,4,2,98075,970000
Seattle,1010,1.5,3,1,98198,160000
Black Diamond,1040,1,3,1,98010,204000
Renton,1610,2.25,3,2,98058,358000
Bothell,1570,1.75,4,1,98011,452000
Seattle,1510,2,2,1,98103,595000
Kent,1360,2,3,1,98042,249000
Renton,1970,2.5,4,2,98055,346900
Seattle,5403,2.5,3,2,98166,2130000
Renton,1560,2.5,4,2,98056,280000
Kent,2320,1.75,4,1,98032,318888
Sammamish,2120,2.25,3,1,98075,530000
Kent,2120,2.25,3,2,98031,375000
Redmond,3350,2.5,4,2,98052,910000
Bellevue,2380,2.5,4,2,98006,782000
Seattle,1070,2,2,2,98106,259950
Renton,2300,2.75,4,1,98058,315000
Seattle,1320,1,2,1,98168,215000
Mercer Island,2180,1.75,3,1,98040,705000
Seattle,4380,3,3,2,98199,1450000
Seattle,1790,1.75,3,2,98155,451000
Renton,750,1,2,1,98055,261000
Kenmore,1300,1.5,3,1,98028,396000
Renton,2990,2.5,4,2,98059,725000
Mercer Island,4640,3.5,7,2,98040,1950000
Seattle,1400,1,4,1.5,98188,238000
Redmond,2750,1.75,6,2,98052,750000
Kent,2050,2.5,4,2,98042,331500
Snoqualmie,2230,3,4,1,98065,460000
Auburn,2340,2.25,4,1,98092,404950
Seattle,2870,2.5,3,2,98103,880000
Sammamish,4120,2.5,4,2,98074,863000
Bellevue,2080,1.75,3,1,98005,638700
Redmond,1840,2.5,3,2,98053,435000
Seattle,1180,1,3,1.5,98178,260000
Seattle,2160,2.75,5,1.5,98105,671500
Seattle,1180,1,3,1.5,98109,610000
Carnation,1160,0.75,2,1,98014,405000
Maple Valley,1830,2.5,4,2,98038,338900
Sammamish,3200,4,4,2,98075,720000
Seattle,2560,3,5,1.5,98108,442000
Seattle,2550,2.75,5,1.5,98122,650000
Renton,1330,1.75,3,1,98058,263500
Maple Valley,1220,1,2,1,98038,300000
Auburn,1805,2.5,3,2,98002,266000
Woodinville,6050,4,4,2.5,98077,930000
Kenmore,2320,2.5,4,2,98028,530000
Federal Way,1384,1,3,1,98023,180000
Snoqualmie,2720,2.5,3,2,98065,619000
Federal Way,1820,1.5,3,1,98003,264000
Seattle,2130,2.25,2,1.5,98116,730000
Kirkland,2060,2.25,4,2,98034,439000
Kent,1420,1.75,4,1,98031,268500
North Bend,1510,1.75,3,1,98045,330000
Seattle,2160,2.5,3,1.5,98122,640000
Sammamish,3180,2.5,3,2,98074,900000
Maple Valley,2110,2.25,3,2,98038,370000
Seattle,2060,2,3,1.5,98144,685000
Redmond,1830,1.5,3,1,98053,505000
Enumclaw,1820,1.75,3,1,98022,265000
Renton,1610,2.5,3,2,98055,290000
Maple Valley,1780,2.5,4,2,98038,296000
Seattle,1840,2.5,4,2,98178,360000
Seattle,1460,1.75,3,1,98168,240500
Seattle,1400,2.5,2,2,98126,372500
North Bend,3370,2.5,3,2,98045,595000
Federal Way,3590,3,4,2,98023,515000
Mercer Island,3200,2.25,4,2,98040,1220000
Redmond,1670,1.75,2,1,98053,507000
Auburn,2420,2,4,1,98092,399950
Black Diamond,1430,1.75,3,2,98010,185000
Redmond,1440,1.75,3,1,98052,460000
Issaquah,1450,2.25,3,2,98029,435500
Seattle,3550,2.75,4,1,98188,469000
Seattle,1270,3,2,2,98103,531000
Seattle,940,1,2,1,98177,443500
Kent,1670,2,3,1,98042,223000
Kenmore,3100,3.5,4,2,98028,590000
Seattle,1100,2.5,2,3,98103,340000
Seattle,1870,2,3,1,98199,650000
Issaquah,1930,2.5,3,2,98029,533600
Sammamish,2540,2.75,3,2,98074,695000
Kent,1280,1.75,3,1.5,98031,242000
Seattle,1820,2.25,3,1,98125,425000
Redmond,1490,2.25,3,2,98052,525000
Issaquah,1880,2.5,3,2,98029,485000
North Bend,1250,1,3,1,98045,175000
Auburn,1440,2,3,1,98092,210000
Kent,1920,2.5,3,2,98031,260000
Seattle,2060,2.5,3,1,98116,577000
Auburn,1210,1.5,3,1,98002,200000
Seattle,1760,1.75,2,1,98117,605000
Seattle,990,1,3,1,98133,325000
Seattle,960,1,3,1,98178,289500
Seattle,1660,2.5,3,3,98144,559950
Seattle,1900,1.75,3,1,98115,1040000
Seattle,1270,2.25,3,1,98199,543500
Kent,3250,2.25,4,2,98042,480000
Enumclaw,960,1,3,1,98022,218000
Seattle,1330,1.75,2,1,98199,565000
Renton,2080,1.75,3,1,98056,426700
Kenmore,2690,2.5,3,1,98028,650000
Seattle,890,1,2,1,98105,542000
Redmond,1070,1.75,3,1,98052,415000
Auburn,1200,1,3,1,98002,214000
Seattle,1360,1.5,3,2,98188,245000
